Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
"Антидеприсант Actavis ""Пароксетин""",Железячка,"Россия, Владивосток",+1066,"Хороший антидеприссант, лично мне очень помог","Очень помог, эмоциональная стабильность","синдром отмены, который нужно пережить","Состояние, которое с подвигло меня на прием этих таблеток, было просто невыносимое. Постоянное внутреннее напряжение, казалось иногда, что вот-вот и я взорвусь, не смогу себя контролировать. И главное всё ощущается прекрасно физически. Будто нервы - это натянутые струны, и они вот-вот порвутся. Начала принимать с четвертинки, получается с 5мг. в день утром... Затем постепенно стала увеличивать дозу до 25 мг. в день. Этой дозы мне вполне хватило. Вокруг меня образовался какой-то вакуум. Я не говорю про заторможенность, я говорю о восприятие, эмоциональном восприятии каких либо ежедневных встрясок... Я всё осознаю, понимаю, но не так близко подпускаю к нервам... будто оголенные провода больше не сверкают, а в оболочке",Отзыв рекомендуют:48,5
"Антидеприсант Actavis ""Пароксетин""",Masha Vorobei,"Россия, Новокузнецк",+18610,"Сильный антидеприсант, принимаю в крайних случаях.",Успокаивает реально,"Возможно обострение проблемы, но у меня не было. Эффект отмены антидеприсанта",Всем привет!,Отзыв рекомендуют:75,23
"Антидеприсант Actavis ""Пароксетин""",Elena Lenochka,"Россия, Тамбов",+15077,Мягкий действенный антидепрессант,"облегчает депрессивное состояние, лечит, недорогой, побочек не было","все же это психотроп, никакого самолечения!","В моей жизни два раза была депрессия, при первой депрессии я пила из антидепрессантов ",Отзыв рекомендуют:24,4
"Антидеприсант Actavis ""Пароксетин""",Olga37reg,"Россия, отстаю всех прочту",+31976,"Серьезное лекарство, помогает.",Рабочее лекарство.,"Продается по рецепту, побочные эффекты.","Доброго времени суток, уважаемые читатели сайта!",Отзыв рекомендуют:110,28
"Антидеприсант Actavis ""Пароксетин""",Мяю,"Россия, Челябинск",+4,Я счастлива,Новая жизнь,"Надо потерпеть с месяцок, пока заработает»","Депрессия была многолетняя. Я уже и забыла, что бывает иначе. Приступы тревоги, страхи, панические атаки стали частью меня. Жизнь была сложная и я выбирала завалиться в апатию, в результате астения, ангедония, зря убитое время, заживо себя хоронила, не жила, а существовала. Лет 10, может больше. Алкоголь, легкие наркотики усугубляли ситуацию. Работоспособность нулевая. Мыться, одеваться- раздеваться…зачем? Но не виню себя, не могла иначе, не знала, что это болезнь. Обратилась к психиатору, когда уже встать не могла. С третьего раза попал в препарат. Им оказался пароксетин. Вхождение было тяжёлым, пару недель как в тумане, зрачки расширенные, слабость, низкое внимание, тяжело было за руль садиться. Но терпела и пила колесики. Параллельно читала психологию. Не знаю что оказалось костылем, который помог мне встать - препарат или разбор внутриличнрстных конфликтов. Но ведь сработало. Месяца через полтора выстрелило четко и ясно. Радость есть, в душе легко. Хочется жить, вставать по утра. Прошло два месяца, пока не собираюсь бросать. Прошли всд- проявления, головные боли, бессонница, в теле легкость, в голове ясность, в душе свет. Буду лечиться дальше, хотя бы ещё месяца 4. Верю, что все будет так же хорошо, мне нравится так жить. Если потребуется буду всю жизнь их пить. Спасибо доктору, лекарству, психологии и вам, что дочитали до конца. Здоровья вам крепкого и любви! ",Отзыв рекомендуют:26,2
"Антидеприсант Actavis ""Пароксетин""",lyale4kaoi,"Беларусь, Минск",+14765,Серьезный антидепрессант! Неудачный опыт.,Нет,Некачественное сырье.,Всем привет.,Отзыв рекомендуют:38,8
"Антидеприсант Actavis ""Пароксетин""",mamazayka,Украина,+9,Отличный антидеприссант при панических атаках и лечения ВСД,"Не вызывает привыкания, не вызывает сонливость","Длительный курс лечения для получения результата, цена","Этот антидепрессант мне назначили для лечения ВСД (вегето-сосудистая дистония). Препарат обладает хорошей переносимостью, не вызывает сонливость, а это главное при лечении. Прием препарата стоит принимать строго по назначенной схеме, которая рассчитывается отдельно для каждого пациента. Начинать стоит с 1/4 таблетке, постепенно увеличивая дозу, таким образом не будет большого стресса для организма. ",Отзыв рекомендуют:15,1
"Антидеприсант Actavis ""Пароксетин""",LauraC,"Польша, Бяла-Подляска",+69,Пароксетин от депрессии и тревоги. Опыт применения длиною в 2 года.,"относительно мягкое течение побочки, снимает тревогу, регулирует сон","дороговат, привыкание",Доброго времени суток всем!,Отзыв рекомендуют:15,1
"Антидеприсант Actavis ""Пароксетин""",Головкина,"Россия, город - не герой",+715,Выпила 1 таблетку и скорая дежурила у меня весь день,Не знаю. Не смогла принимать,"Наверное, у меня проявились все побочные эффекты","После того, как мне прописали данные таблетки и со мной случилось ""нечто"", мне везде хочется прокричать:""Люди, будьте аккуратнее!!!"" После этого я поняла и узнала силу маленькой белой круглой таблеточки и теперь тщательно изучаю препараты и отзывы перед их применением. А ведь раньше слепо доверяла и верила врачам.",Отзыв рекомендуют:12,4
"Антидеприсант Actavis ""Пароксетин""",Nikavasilisa,"Украина, Полтава",+2578,Пустая трата денег и здоровья,Небольшая цена,Не помогает и куча побочек,"Доброго времени суток посетителям и долгожителям сайта ""Отзовик""!",Отзыв рекомендуют:13,3
"Антидеприсант Actavis ""Пароксетин""",БабушкаОладушка,Россия,+7295,"Опасный антидепрессант Пароксетин при лечении алкоголизма, аналог Паксила.","для улучшения настроения, помогает при лечении алкоголизма, снижает агрессию, тревожность","не всегда есть в продаже, много побочек, нужен рецепт на него, дозировка должна быть грамотно подобрана лечащим врачом",Доброго времени суток читателям отзыва!,Отзыв рекомендуют:19,2
"Антидеприсант Actavis ""Пароксетин""",олядида,"Россия, Кировское",+7,обязательно пропить курс,результат спустя месяц,не найдено,"Пропила данный препарат вместе с препаратом ""Атаракс Гидроксизин"". Курс длинный, но с учетом того, что препарат действительно снимает тревогу, приводит нервную систему и голову в порядок, так это факт. Из приятного цена. ",Отзыв рекомендуют:4,0
"Антидеприсант Actavis ""Пароксетин""",julitetereva,"Россия, Орел",+3,Мне помог или как я лечу генерализированное тревожное расстройство и расстройство автономной нервной системы,"Действительно работают, помогают при ПА",эффекта придется ждать,"Немного предыстории. Летом 2017 года внезапно случилась первая, сильнейшая паническая атака, с вызовом скорой, думала все, вот вот полечу по тоннелю к белому свету. Тот кто испытывал ПА на себе меня поймут, а тогда я даже не знала, что такое возможно и реально. После чего начались ""хождения по мукам"". Обошла кучу врачей, вроде все хорошо со здоровьем, сердце в норме, анализы хорошие. С того момента практически не было спокойного дня. Тревога била такая, что я сама стала панической атакой, у которой был человек. После этого ситуация дошла до того, что мне пришлось переехать к маме, потому как у меня не было сил встать, есть, ходить, даже глаза открыть, это было ужасно. Складывалось впечатление, что я просто умираю. Так ка ПА очень энергозатратна медленно и верно превращаешься в овощ. В этот момент я принимала атаракс, который потом невролог заменил на алпрозолам-убийственная вещь, спишь сутками, рубит не по-детски. И все равно было очень плохо, ситуация дошла до того, что я перестала выходить из дома иногда просила старшего сына проводить меня до остановки в 2 шагах от дома, не могла погулять с младшим, думала вот вот упаду. Каких усилий мне стояло, чтобы пойти с ним погулять. Это был порочный круг, каждый день я мечтала, чтобы этот день закончился, как можно быстрее. Была куча симптомов отравляющие жизнь (головокружение, тошнота, шаткость походки, болело сердце, голова и т. д.) Все что могло болеть, болело. Боязнь сойти с ума, спутанность мыслей, навязчивые мысли... я искала выход и нашла специалиста частного психолога. На прием привел муж, буквально под руку. В общем ходила на терапию, и мне помогло. Стало намного легче, но я думаю, это и от моего огромного труда, так как по чуть-чуть, стала перебарывать страхи, на маршрутке проехать для меня было верх героизма. Где то около полу года я ходила к психологу, каждый прием 1500р., достаточно накладно, так как я тогда не работала и все легло на плечи мужа. Потом вышла на работу, симптомы ВСД никуда не уходили, но таких ПА не было. ",Отзыв рекомендуют:4,0
"Антидеприсант Actavis ""Пароксетин""",Карпун,"Россия, Москва",+8,Очень помог,"Цена, побочек не заметил",Возможен синдром отмены,"Если коротко, то была тревожность или беспокойство, нарушение сна. Пробовал тиралиджен и флуаксетин, эффект был но немного не тот, втрой препарат повысил тревожность, пришлось отказаться. Врач выписал пароксетин по 1 таб в день плюс полтаблетки на ночь фенозепама. Помогло и довольно быстро, сон востановился сразу, тревога и волнение ушли, ясность мышления вернулась, изменился взгляд на те же самые проблемы, которые собственно никуда не исчезли. От фенозепама отказался через неделю, он давал сильную сонливость. Пароксетин принимал два месяца, все нормально. После окончания приема спустя несколько дней начало немного кружить, пошатывать, не знаю но возможно это и есть синдром отмены.",Отзыв рекомендуют:3,1
"Антидеприсант Actavis ""Пароксетин""",Daria-Larina,"Россия, Петрозаводск",-0,Будьте осторожны,"Думаю, что для кого-то, хороший препарат",Побочные реакции,"Выписала врач, от сильной депрессии.",Отзыв рекомендуют:3,0
"Антидеприсант Actavis ""Пароксетин""",Checkmate,Украина,+25,Не очень,Помают на время,Побочные эффекты,"Моя девушка пьет их уже год. Я когда с ней познакомился, узнал что у нее невроз и депрессия уже 4 года. Повел на прием психотерапевта, выписали эти таблетки. Как вы знаете у любых таблеток очень много противопоказаний. Но мало кто сталкивался с ними. Так вот, если употреблять медикаменты долго, то они начинают проявляться. Первое что меня на сторожило, она и дня не может без них. Первое время они ей помогали. Потом у нее начало очень часто меняться настроение. Либидо скакало то вниз, то вверх. Стала рассеянной. Пьет и по сей день. И слезть она не может с них, только с помощью врача. Вывод : по моим наблюдениям могу рекомендовать на срок до 3-х месяцев. ",Отзыв рекомендуют:2,3
"Антидеприсант Actavis ""Пароксетин""",airbourne,"Россия, с.селечня",+108,когда другие не помогают.,"быстро помогает, высокая эффективность, сравнительно не дорогой.","может быть тяжеловато отменить, но не смертельно.","Всем привет. Хотелось бы оставить отзыв об этом препарате, так как это 1 из немногих антидепрессантов, который действительно помогает. Я начал принимать его в конце мая 2019 года. В отличие от других препаратов этого типа, он начал помогать практически сразу. ",Отзыв рекомендуют:3,0
"Антидеприсант Actavis ""Пароксетин""",Krugovorot,"Украина, Горловка",+27,Помогает,Помогает,Неприятно принимать,"В связи с дефицитом Рексетина в моем городе, решил попробовать Пароксетин. Начну с того, что найти его можно далеко не в каждой аптеке, а отпуск производиться строго по рецепту. Упаковка не броская, стандартный картон, внутри пачки 3 блистера по 10 таблеток. Сами таблетки круглые, белого цвета, с вдавлением дозировки и разделительной полоской посередине. Самый большой минус в том, что отсутствует пленочная оболочка, от чего при приёме таблетка моментально растворяется во рту и распространяет горький вкус. Побочек не заметил. Эффективность ничем не разнится от Рексетина, ни в лучшую, ни в худшую сторону",Отзыв рекомендуют:2,0
"Антидеприсант Actavis ""Пароксетин""",Perekatova,"Россия, Барнаул",+9,Мне помог,"Помогает , долгий эффект","Побочные эффекты , не сразу действует","Столкнулась с такой проблемой как панические атаки и тревожность. Как это у многих бывает в семье были проблемы, потом экзамены, поступление, после анафилактический шок и я на грани. По началу было не так плохо, я более менее могла ездить в транспорте, ходить на учебу, посещать мероприятия. Но с каждым днём мне становилось хуже, в итоге бессонница, боязнь выходить на улицу. Пришлось обратиться к психиатру вот тут то мне и выписали это лекарство пароксетин. Первые три дня были жуткие побочные эффекты, на 4 день меня стало меньше трясти, я начала более менее есть, а ещё через пару дней побочные эффекты ушли. Пью это лекарство уже пол года, панические атаки и тревожность ушли, я стала радоваться жизнь и вернулась к прежнежнему быту",Отзыв рекомендуют:1,1
"Антидеприсант Actavis ""Пароксетин""",Аноним2789837,"Россия, Нижний Новгород",-0,Вызывает приступы агрессии,Нет,Вызывает вспышки агрессии,"Этот антидепрессант не только не помог мне, но и сделал меня неуравновешенной и агрессивной. Агрессивность вообще не хакактерна для меня и до начала приема препарата я никогда не теряла контроль над собой.",Отзыв рекомендуют:1,0
"Антидеприсант Actavis ""Пароксетин""",Freaked921,"Россия, Москва",-0,Хороший антидепрессант,"Хороший антидепрессант,помогает избавиться от панических атак.Стоимость нормальная.",Минусов не нашла.,"Пароксетин, антидепрессант который помогает от тревоги, депрессии и панических атак. Пью его уже год. По стоимости недорогой. Желательно начать с четвертинки пару дней, потом неделю с половинки, и уже целую можно.",Отзыв рекомендуют:3,0
"Антидеприсант Actavis ""Пароксетин""",Marierlx,"Украина, Харьков",-0,Хорош при депрессии и булимии,"Заряжает энергией, позитивом. Убирает тревожность. Уменьшает кол-во срывов при булимии.","Тяжелый сон, мысли о самоповреждении, ускоренное сердцебиение в ночное время","Мне назначали пароксетин для борьбы с булимией, тревожными мыслями, депрессией, апатией. Пила его полгода. И всегда возвращаюсь, когда пропадает желание жить. Действует уже после нескольких дней приема. На меня он действует как энергетик. Также значительно уменьшает желание переедать.",Отзыв рекомендуют:0,0
"Антидеприсант Actavis ""Пароксетин""",Kairaa,"Украина, Киев",-0,Ужасные побочки,Цена,Побочные эффекты,"Посоветовал врач психиатр таблетки Параксетин., диагноз депрессия, ПА. Почитав инструкцию, отзывы на сайтах, всё таки решилась на его применения. Но хватило меня на два дня. Наверное как ломка у наркоманов, голова трещит, всю трусит, апатия, не возможно подняться с кровати, на сон клонит, но спать не возможно, всю дергает, чувство лезть на стены от этого всего. Ещё не знаю как отмена повлияет, вроде как два дня, но последствия не известны. ",Отзыв рекомендуют:0,0
